snapshot_date,tag,published_at,asset,download_count,size
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_aarch64.dmg",1,12374499
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_amd64.AppImage",0,87370232
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_amd64.AppImage.tar.gz",0,86674569
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_amd64.AppImage.tar.gz.sig",0,428
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_amd64.deb",0,10127548
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_x64-setup.exe",1,5757517
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_x64-setup.nsis.zip",0,5757671
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_0.40.4_x64-setup.nsis.zip.sig",0,424
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_aarch64.app.tar.gz",0,10292676
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-29,"v0.40.4","2026-04-29T05:25:12Z","latest.json",8,4685
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_aarch64.dmg",2,12374486
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_amd64.AppImage",0,87370232
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_amd64.AppImage.tar.gz",0,86674812
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_amd64.AppImage.tar.gz.sig",0,428
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_amd64.deb",0,10127542
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_x64-setup.exe",1,5757593
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_x64-setup.nsis.zip",1,5757747
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_0.40.3_x64-setup.nsis.zip.sig",0,424
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_aarch64.app.tar.gz",3,10292667
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-29,"v0.40.3","2026-04-28T20:43:54Z","latest.json",47,5106
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_aarch64.dmg",3,12335107
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_amd64.AppImage",0,87316984
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_amd64.AppImage.tar.gz",0,86624127
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_amd64.AppImage.tar.gz.sig",0,428
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_amd64.deb",0,10063498
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_x64-setup.exe",0,5720103
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_x64-setup.nsis.zip",0,5720257
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_0.40.2_x64-setup.nsis.zip.sig",0,424
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_aarch64.app.tar.gz",2,10251180
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-29,"v0.40.2","2026-04-28T05:25:11Z","latest.json",110,4671
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_aarch64.dmg",1,12334248
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_amd64.AppImage",0,87316984
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_amd64.AppImage.tar.gz",0,86622666
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_amd64.AppImage.tar.gz.sig",0,428
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_amd64.deb",0,10062942
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_x64-setup.exe",0,5719250
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_x64-setup.nsis.zip",0,5719404
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_0.40.1_x64-setup.nsis.zip.sig",0,424
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_aarch64.app.tar.gz",1,10251603
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-29,"v0.40.1","2026-04-27T22:20:38Z","latest.json",21,4674
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_aarch64.dmg",1,12334247
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_amd64.AppImage",0,87316984
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_amd64.AppImage.tar.gz",0,86622694
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_amd64.AppImage.tar.gz.sig",0,428
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_amd64.deb",0,10062934
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_x64-setup.exe",0,5718900
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_x64-setup.nsis.zip",0,5719054
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_0.40.0_x64-setup.nsis.zip.sig",0,424
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_aarch64.app.tar.gz",1,10251600
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-04-29,"v0.40.0","2026-04-27T22:16:02Z","latest.json",0,4681
2026-04-29,"v0.39.0","2026-04-27T11:39:36Z","Kirodex_0.39.0_aarch64.dmg",1,12327445
