snapshot_date,tag,published_at,asset,download_count,size
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_aarch64.dmg",50,16547357
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_amd64.AppImage",14,93440504
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_amd64.AppImage.tar.gz",2,92741096
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_amd64.AppImage.tar.gz.sig",1,428
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_amd64.deb",13,14460216
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_x64-setup.exe",64,9461346
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_x64-setup.nsis.zip",1,9461500
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_0.65.1_x64-setup.nsis.zip.sig",1,424
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_aarch64.app.tar.gz",16,14498906
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","Kirodex_aarch64.app.tar.gz.sig",1,404
2026-07-21,"v0.65.1","2026-06-02T13:31:51Z","latest.json",2881,4680
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_aarch64.dmg",9,16538883
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_amd64.AppImage",1,93432312
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_amd64.AppImage.tar.gz",2,92736808
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_amd64.AppImage.tar.gz.sig",0,428
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_amd64.deb",1,14456516
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_x64-setup.exe",8,9460067
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_x64-setup.nsis.zip",2,9460221
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_0.65.0_x64-setup.nsis.zip.sig",0,424
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_aarch64.app.tar.gz",8,14497935
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","Kirodex_aarch64.app.tar.gz.sig",0,404
2026-07-21,"v0.65.0","2026-05-31T21:57:56Z","latest.json",181,4818
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_amd64.AppImage",1,93428216
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_amd64.AppImage.sig",1,420
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_amd64.AppImage.tar.gz",2,92737297
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_amd64.AppImage.tar.gz.sig",1,428
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_amd64.deb",1,14459798
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_amd64.deb.sig",1,412
2026-07-21,"v0.64.0","2026-05-31T21:35:34Z","Kirodex_0.64.0_x64-setup.exe",1,9462981
